TitleId,Ts,Total Logins,Unique Logins,UniquePayers,Revenue,Purchases,Total Calls,Total Successful Calls,Total Errors,Arpu,Arppu,Average Purchase Price,New Users
D8AB8,2021-01-20T00:00:00.0000000Z,25,13,0,$0.00,0,951,947,4,$0.00,$0.00,$0.00,1
D8AB8,2021-01-21T00:00:00.0000000Z,53,15,0,$0.00,0,"1,938","1,851",87,$0.00,$0.00,$0.00,3
D8AB8,2021-01-22T00:00:00.0000000Z,18,7,0,$0.00,0,"1,050","1,050",0,$0.00,$0.00,$0.00,0
D8AB8,2021-01-23T00:00:00.0000000Z,33,9,0,$0.00,0,671,663,8,$0.00,$0.00,$0.00,1
D8AB8,2021-01-24T00:00:00.0000000Z,56,14,0,$0.00,0,"1,442","1,426",16,$0.00,$0.00,$0.00,3
D8AB8,2021-01-25T00:00:00.0000000Z,37,9,0,$0.00,0,"1,330","1,306",24,$0.00,$0.00,$0.00,2
D8AB8,2021-01-26T00:00:00.0000000Z,42,9,0,$0.00,0,"1,636","1,539",97,$0.00,$0.00,$0.00,4
D8AB8,2021-01-27T00:00:00.0000000Z,45,5,0,$0.00,0,"1,602","1,602",0,$0.00,$0.00,$0.00,0
D8AB8,2021-01-28T00:00:00.0000000Z,58,13,0,$0.00,0,"1,598","1,560",38,$0.00,$0.00,$0.00,3
D8AB8,2021-01-29T00:00:00.0000000Z,131,14,0,$0.00,0,"2,946","2,805",141,$0.00,$0.00,$0.00,5
D8AB8,2021-01-30T00:00:00.0000000Z,120,24,0,$0.00,0,"3,002","2,865",137,$0.00,$0.00,$0.00,5
D8AB8,2021-01-31T00:00:00.0000000Z,62,17,0,$0.00,0,"1,678","1,671",7,$0.00,$0.00,$0.00,2
D8AB8,2021-02-01T00:00:00.0000000Z,47,7,0,$0.00,0,"1,089","1,085",4,$0.00,$0.00,$0.00,1
D8AB8,2021-02-02T00:00:00.0000000Z,54,7,0,$0.00,0,"1,311","1,222",89,$0.00,$0.00,$0.00,1
D8AB8,2021-02-03T00:00:00.0000000Z,34,9,0,$0.00,0,"1,252","1,247",5,$0.00,$0.00,$0.00,2
D8AB8,2021-02-04T00:00:00.0000000Z,107,8,0,$0.00,0,"2,693","1,936",757,$0.00,$0.00,$0.00,0
D8AB8,2021-02-05T00:00:00.0000000Z,94,14,0,$0.00,0,"1,983","1,966",17,$0.00,$0.00,$0.00,1
D8AB8,2021-02-06T00:00:00.0000000Z,144,25,0,$0.00,0,"3,783","3,628",155,$0.00,$0.00,$0.00,8
D8AB8,2021-02-07T00:00:00.0000000Z,64,10,0,$0.00,0,"1,923","1,910",13,$0.00,$0.00,$0.00,3
D8AB8,2021-02-08T00:00:00.0000000Z,39,4,0,$0.00,0,"1,085","1,084",1,$0.00,$0.00,$0.00,1
D8AB8,2021-02-09T00:00:00.0000000Z,52,8,0,$0.00,0,"1,589","1,584",5,$0.00,$0.00,$0.00,2
D8AB8,2021-02-10T00:00:00.0000000Z,50,8,0,$0.00,0,"1,273",834,439,$0.00,$0.00,$0.00,4
D8AB8,2021-02-11T00:00:00.0000000Z,140,10,0,$0.00,0,"2,627","2,454",173,$0.00,$0.00,$0.00,0
D8AB8,2021-02-12T00:00:00.0000000Z,69,11,0,$0.00,0,"1,606","1,579",27,$0.00,$0.00,$0.00,3
D8AB8,2021-02-13T00:00:00.0000000Z,47,13,0,$0.00,0,"1,128","1,091",37,$0.00,$0.00,$0.00,3
D8AB8,2021-02-14T00:00:00.0000000Z,31,8,0,$0.00,0,894,762,132,$0.00,$0.00,$0.00,3
D8AB8,2021-02-15T00:00:00.0000000Z,17,5,0,$0.00,0,"1,067","1,062",5,$0.00,$0.00,$0.00,0
D8AB8,2021-02-16T00:00:00.0000000Z,51,9,0,$0.00,0,"1,720","1,673",47,$0.00,$0.00,$0.00,2
D8AB8,2021-02-17T00:00:00.0000000Z,20,4,0,$0.00,0,609,575,34,$0.00,$0.00,$0.00,2
D8AB8,2021-02-18T00:00:00.0000000Z,84,8,0,$0.00,0,"1,711","1,345",366,$0.00,$0.00,$0.00,0
